1462744166.292 2016-05-08 23:49:26 CEST LOG:  could not bind IPv6 socket: Cannot assign requested address
1462744166.292 2016-05-08 23:49:26 CEST HINT:  Is another postmaster already running on port 5432? If not, wait a few seconds and retry.
1462744166.308 2016-05-08 23:49:26 CEST LOG:  database system was shut down at 2016-05-08 23:49:04 CEST
1462744166.308 2016-05-08 23:49:26 CEST LOG:  MultiXact member wraparound protections are now enabled
1462744166.309 2016-05-08 23:49:26 CEST LOG:  database system is ready to accept connections
1462744166.309 2016-05-08 23:49:26 CEST LOG:  autovacuum launcher started
1462744174.187 2016-05-08 23:49:34 CEST LOG:  checkpoint starting: immediate force wait flush-all
1462744174.193 2016-05-08 23:49:34 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.000 s, total=0.005 s; sync files=3, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1462744174.304 2016-05-08 23:49:34 CEST LOG:  checkpoint starting: immediate force wait
1462744174.307 2016-05-08 23:49:34 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1462744182.328 2016-05-08 23:49:42 CEST LOG:  checkpoint starting: immediate force wait
1462744182.331 2016-05-08 23:49:42 CEST LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=1, longest=0.000 s, average=0.000 s; distance=1 kB, estimate=1 kB
1462744182.434 2016-05-08 23:49:42 CEST LOG:  checkpoint starting: immediate force wait flush-all
1462744182.437 2016-05-08 23:49:42 CEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=3, longest=0.000 s, average=0.000 s; distance=2 kB, estimate=2 kB
1462744182.548 2016-05-08 23:49:42 CEST LOG:  checkpoint starting: immediate force wait
1462744182.550 2016-05-08 23:49:42 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=1 kB
1462745082.190 2016-05-09 00:04:42 CEST LOG:  checkpoint starting: time
1462745087.301 2016-05-09 00:04:47 CEST LOG:  checkpoint complete: wrote 2121 buffers (1.6%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=5.092 s, sync=0.017 s, total=5.111 s; sync files=44, longest=0.017 s, average=0.000 s; distance=3294 kB, estimate=3294 kB
1462745087.301 2016-05-09 00:04:47 CEST LOG:  checkpoint starting: immediate force wait
1462745087.304 2016-05-09 00:04:47 CEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.000 s, total=0.002 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=2965 kB
1462745987.392 2016-05-09 00:19:47 CEST LOG:  checkpoint starting: immediate force wait time
1462745987.395 2016-05-09 00:19:47 CEST LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.000 s, total=0.003 s; sync files=4, longest=0.000 s, average=0.000 s; distance=12 kB, estimate=2670 kB
1462746887.496 2016-05-09 00:34:47 CEST LOG:  checkpoint starting: time
1462747337.042 2016-05-09 00:42:17 CEST LOG:  checkpoint complete: wrote 70565 buffers (53.8%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=449.524 s, sync=0.006 s, total=449.546 s; sync files=21, longest=0.004 s, average=0.000 s; distance=1211635 kB, estimate=1211635 kB
1462747787.143 2016-05-09 00:49:47 CEST LOG:  checkpoint starting: time
